"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"Butyricimonas_virosa",0.0166346574327235,0.00984748449520198,0,0,0.00111070779449269,0,0,0,0.000659010636416824,0,0,0,0,0,0.00400956381438544,0,0.00183904049597652
"Escherichia_coli",0.218033124230574,0.00542813426774088,0.029504687997777,0.00401556155033261,0.000467904866276361,1.65782048716301,1.33785444327927,0.0017216564827692,0.00312183002581791,0.00150773561227008,0.00659699651101229,0.00636918146756389,0.00356447061681322,0.00951094307033888,0.000702646489482182,0.0131614321581928,0.0069781429131806
"Streptococcus_thermophilus",0,0,0,0,0,0,0.00110636564344558,0.00391094546112998,0,0,0,0,0,0,4.77115826539881e-05,0,0
"Bacteroides_stercoris",0.0250438530857515,0.0122689582719327,0.00207043905771138,0.000755523406847763,0.0782661762141159,0.00733062026393395,0.00105798262577743,0.0009413371868926,0.0150682639560065,1,0.270312505521347,1.47858343804299,0.529562330806255,0.000226920015955258,0.00483793409031962,0.00814194161988772,0.0200071954908806
"GGB9747_SGB15356",0,0.00772936515104237,0,0,0,0,0,0,0.0649682896875413,0,0.00140404696670439,0.000518613769081418,0,7.49086948730756e-06,0,0,0.0605486933893734
"Clostridiales_bacterium_KLE1615",0.00128490573837581,0,0,0.00348672413184414,0,0,0,0,0.000632731448198012,0,0,0,8.80809256667759e-06,0.00481936853689225,0,0.00202968476982731,0.00173315734888377
"Blautia_faecis",0.00305497595388212,0.00155969163944812,0,0.00642774906424868,0.000512272182223661,0,0,0.00435178664490594,0.000227442759078463,0,8.68611225703904e-05,0,0.000947523908568517,0.000349353230670462,0,0.00209075863707648,0.000168058072404081
"GGB9512_SGB14909",0,0,0,0.000165342310493623,0,0,0,0,0,0,0,0,0,0.00246484751504061,0,0,0
"Candidatus_Cibionibacter_quicibialis",0.0283558693864253,0.00880576159815107,0.0159171952049143,0.00145802519021346,0.251692448605001,0.000833112827344473,0.000244237504276061,0.000403548533907653,0.0034089402158476,0,2.62447999525733e-05,0.000670872734725209,0.00719265705963001,0.0122006094453763,6.66339416416929e-05,0.0297989503280362,0.0028398669416787
"Blautia_obeum",0.0165034810484878,0.000171441251070623,0,0.036074481188832,0.00149812572033463,0,0,0.0394631428542309,0.00019417559368254,0,0.0093573682352013,0,0,0.0245446727125024,0,0.00110346809470387,0.000208828516689599
