"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"Clostridium_sp_AF34_10BH",0.00120561924183986,0.00954020913239723,0.01956799592444,0.0452015595111698,0.109200701093356,0.00357830177025562,7.8996735197173e-05,0.0220651350937975,0.0414290517876977,0.462608980025329,0.0169599170059379,0.00898385264695968,0.00207742429372447,0.0722062233829412
"Eubacterium_sp_AF16_48",0.010976093476702,0,0.0131307021427809,0,0,0.000288932873551523,0,0,0,0,0,0.00148152376533021,0,0
"Lachnospiraceae_bacterium_BX3",0.00634036144678486,0.00228141122351453,0,0,0,7.61431503431525e-06,0,0,0,0,0,0,0.00502835683447693,0.0116371862679548
"Streptococcus_salivarius",0.000830119547238531,0.00247105603993621,0.0123745424334747,0.00332588797905085,0.00336273650626795,0.00193553786539024,0.00264354437578439,0.00549961241032752,0.00132237397960225,0.0455493294958962,0,0.000595016296479977,5.24118933343062e-05,0.00061334825951504
"Clostridiaceae_unclassified_SGB4771",0.00017883460741406,0,0,0.000475313011256049,0.000504709274651152,0.00196252228423054,0,0,0,0,0.000160118621398054,0.000168050828632993,0,0.0014339929972374
"Haemophilus_parainfluenzae",0.000399579240363611,9.34676567986722e-05,0.00160244406390096,0.000542898904586538,0.00198177661448675,0,0,0.000814643663759793,0.868814909714793,0.00948766514884128,0,0.000785760253451818,0.000170566552866601,0.00121595020736613
"Bacteroides_clarus",0,0,0,0,0.0686011337389488,0,0,0,0,0,0,0,0.00428340622854206,0
"Roseburia_hominis",0.00308513583332763,0.0140194847774735,0.0337934204268458,0.00699140139586831,0.00219054924951156,0.00834914127324513,0.00783713662086728,0,0.0987641890167393,0.00643434885788415,0.0110106547341186,0.130937493397077,0.0276615328082187,0.00220216157315824
"Blautia_SGB4815",0,0,0.000160118621398054,0,0.0107527095166906,0,0.000288572106636757,0,0,0.000686780084328018,0,0,0,0.00050072693654552
"Parasutterella_excrementihominis",0,0,0,0,0.0278320390143433,0,0,0.155174592753682,0.000550211366232222,0,0.00858574762576455,0,0,0
"GGB9712_SGB15244",0,0,0.00345243912105597,0,0,0.0143009369322316,0,0,0,0,0,0,0,0
"Clostridium_sp_AF20_17LB",0,0.004662469113142,0.000107342935276785,0.000112685136834056,0.000774696945129926,0,0.0142785921293876,0,0.01013748810488,0,0.00120015362940936,0.000714567300931498,0.000522107945284072,0.0015829026108467
"Clostridium_sp_AM22_11AC",0.000441533999250464,0.00184674799708243,0.00033609675039847,0.013075674617231,0.00181311424432134,0.000943714973612638,0.0180063483693837,0,0,0,0.0181180961471532,0.00148043043235556,0.00314853998193671,0.000916708345430671
"Clostridiaceae_bacterium_AF18_31LB",0,0.00609675282588583,0.000127591015738382,0.00150449180132432,0.00338632228675403,0.000160703504343766,0.00517328428420008,0.0127032899735144,0.00754017663567998,0.00301023485673907,0.000961072960094987,0.00770494626408305,0.00131404744135627,0.00116696347454698
"Clostridiaceae_bacterium_Marseille_Q4149",0,0,0.0528468586560338,0.0382346168931931,0,0,0,0,0.00899131996483388,0,0.110512174058248,0.00593678381516389,0,0
"Collinsella_SGB14861",0,0,0.00254510803966049,0,0,0,0,0,0,0,0,0,0,0.00860012946758685
"Lacrimispora_celerecrescens",8.7612373738265e-05,0.000390396202800266,0,0.00013425171609434,0.000619401387882604,0,0.000241154973966653,0,0,0,0.00057516306658211,0.000776276323446245,0,0
"Roseburia_sp_AM16_25",0.000176350135139973,0.00468418153058918,0,0.134440547536232,0.000158842065849132,0.00101062088172484,0,0,0,0.0198137967747355,0.00198743164107704,0.000841320212635554,0.0127913998471413,0
"Clostridium_sp_AF36_4",0.0155065894558556,0.0184332502313293,0,0,0,0.00860505591117491,0,0,0.00949826424299015,0.00484350099826017,1.51056390799081e-05,0.0365584736556731,0.0757409499860362,0.0634792595646976
"Oscillospiraceae_bacterium_Marseille_Q3528",0,0,0.000132294015677111,0.000351156003553815,0.00126635215891847,0.00089813380477676,0,0,0,0,5.08262275335528e-05,0,2.8428057299697e-05,6.75549712225955e-05
"Dysosmobacter_sp_BX15",0.0472285306549085,0.112697708054223,0.0573796539497243,0.366828029103409,0,0.00499435775379754,0.0910398622997438,0,0.0981438422406855,0,0.0345120092079332,0.0805582177584424,0.0829217452420666,0.0379794144793207
"Coprobacter_fastidiosus",0,0,0,0,0,0.000922013058141131,0,0.00588693212415367,0,0,0,0.294902298899116,0,0
"Coprococcus_catus",0.000448469993069912,0.000995805281636993,0.000464236288680818,0,0.00200201016227735,0.000121526641540257,0.00209943304425512,0,0.015184016878516,0,6.68779691231051e-05,0,0.000124707898645271,0.000725881431417098
"Butyricicoccus_sp_AM29_23AC",0.00150322281825889,0,0,0,0,0,0.00156094314615722,0.107109521103358,0.0285989961485977,0.00339691786871231,0,0.0017467500672172,0.00937879751060815,0.00244236702605279
"Dorea_sp_AF24_7LB",0.000122292661996896,0,0,0.000798699596326093,0,0,0,0,0,0,0,0.000121445788876444,0,0
"GGB2982_SGB3964",0,0.0016425800216883,0.00115275359991336,0,0,0.000180970680795812,0,0.0163345784298176,0,0,0,0,0.00314135423647073,0
"Coprococcus_SGB4669",0,0,0,0.000401051685342079,0,0,0,0,0,0,0,9.86212444673016e-05,0,0
"Faecalibacterium_SGB15346",0.0211578584360105,0.106424816222504,0.0263452650296492,0.0356663909716977,0.279613455779776,0.0302276309971949,1.13431733842451,0.331545799657518,0.0373122983521953,0,0.0927406685877448,0.300982367637376,0.105306572987402,0.157586360260158
"Catenibacterium_SGB4425",0.00344256696518174,0,0,0,0,0,0,0,0,0,0,0.0121657874051444,0,0.0072172117370678
"Clostridium_sp_AF34_13",4.44440933490602e-05,0.00782186179129157,0,0,0,0.00784742358825511,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",7.14998104793452e-05,0,0.000184577645780882,0.000283134192908566,0.00676127570103955,0.000784995806724794,0.000913404130563213,0,0.00706815769582977,0.0101291848100871,0,0.000204033733525456,0.000433242286487347,0.010038691734108
"Clostridium_saudiense",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0.387345238299345,0.178062481312909,0.858223020306763,0.185134502143589,0.196839127511148,0.132351513009766,0.353950079033036,0.0159779828125632,0.0134677085213714,0,0.00179741198445509,0.00115510680833978,0.112790509256407,0.000190242154136307
