"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160"
"Anaerostipes_hadrus",0.00165154621913933,0,0,0,0.00312046332729541,0,0.000580493305995665,0.00366936255006033,0.00439098186541087,0.00203042858856994,0.000138619974985061,0.00025792054213327,0,0.000191424847937474,0.0128904458864811,0,0.00270555505965,0.000336949403417993,0,0.000362607127346806,0.000573670214722609,0,0.00138584836322782,9.44448460529235e-05,0,0.00784757408845818
"Lachnospiraceae_bacterium_AM48_27BH",0.00475068466612085,0,0.000616870383952791,0,0,0,0,0,0,0,0.000159221302569009,0.00327040926763866,0.00155104216019416,0,0.0013846289087395,0,2.18924770014499e-05,0.00369886600012075,0,0,0.00201790890289084,0,0.0164266167843954,0.00189166952040054,0,0.00112497392839784
"Blautia_sp_MSK_20_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000947522108305331,0,0,0
"Bacteroides_salyersiae",0.016710726762045,0.145976475583749,0,0,6.08846667959102e-05,0.000568909341615652,0,0.00122032555913607,0,7.8065531503083e-05,0.000415550168645859,0.00173707045874484,8.45955207340767e-06,0,0,0,0,0,0.0151529663231761,0.000559631644791971,0,0,0,0.00322599079265304,0,1.99644909855291e-05
"Fusicatenibacter_saccharivorans",0.00673266422289727,0.000540780627452936,0.0011315547928273,0,0,0.000607190418230195,0,0.0014299312767781,0,0,0.00265483869910127,0.00478623320991949,0.00115159906191882,3.19895704769717e-05,0.000324440185120768,0,0.00153831067567649,0.00668786416972607,0,0.0122180525720856,0.00109598621682848,0.00342854392734198,0.00723564262994503,0.000378786291654983,0.00227479396385436,0.0443162196177984
"Anaerobutyricum_hallii",0.000244006762520076,0,3.53458845208882e-05,0,0,0,0,0.00253894608769463,0,0.00377937187267832,0.000227120758899513,0,2.98988324209958e-05,0,0,0,4.35701798389053e-05,0.000728724649544928,0,0,2.0302885385725e-05,0,0,0,0,0.00474315544317445
"Clostridium_fessum",0.00642395625449942,0.00111703092672916,0.00349223215876569,0.000517753761265713,0,0,0,0.00500193774261682,0,0.00230231665863501,0.00169428298415173,0,0.0223866848878242,0.00114963969105952,0.0387398188634802,0.00282579346102376,0.00272705024165213,0.0053898447818434,0.000826026846261036,0,0.000919208285070984,0,0.00936725001379519,0.0013992735128732,0.0456069743639779,0.0119571551122276
"Lachnospira_eligens",0.00267293377096193,0.00212153984581268,0.0131183225052643,0,0.0332769588699041,0.000246105642534203,0,0.0061122489774214,0,4.34014763427132e-05,0.0139610389347472,0.000188585356016479,0.00114758300809241,4.25806326323135e-05,0.00472072027603867,0,0.00218404440032548,0.0309262944791475,0,0.0242651516524106,0.0012159341606156,0.00692950953313838,0.000120305251197331,0,0,0.00422391403103162
"Clostridium_sp_AF34_10BH",0.00265728575636424,0.00852600246462692,0.00780197763962157,0.000345273601245576,0,0.000779525908220092,0,0.000411883188642388,0,4.26876196236573e-05,0.0052717423256198,0.000503861730896,0.0189024254843007,0,0.0362197170840684,0.000173587055585148,0.00134795694235013,0.00449261603647622,0.00291334694745001,0.0935495199685472,0.0016661493731237,0.0146655601393848,0.00432748641441299,0.00348547831430848,0.000756767304815977,0.0128172453796728
"Eubacterium_sp_AF16_48",0,0.00537268635574054,1.25031606065055e-05,0,0,0,0,0.00580929926292788,0,0,0,0.00122478331234608,0.00992444060297402,0,0,0,0,0,0,0,0,0,0.000668527227144045,0,0,0
"Lachnospiraceae_bacterium_BX3",0,0,0.000339861360162544,0,0,8.81705690963992e-05,0,0,0,0,0,0,0.0017712438623247,0,0,0,0.000784795287427371,0,0,0.00233130871928647,0.000414697017456942,0,0,0,0,0
"Streptococcus_salivarius",0.0031857138653589,0.0118890303862476,0.000665213883730395,0,2.11974777311444e-05,0.00144999670808021,0,0.000744049662816322,5.48478427637798e-05,0,0.00101266254343137,0,0,0,0.000520872503429762,0,0,7.01944735067409e-05,0,0,0,5.0277236962419e-05,0.000342752967038823,0,7.58783782912876e-05,0
"Clostridiaceae_unclassified_SGB4771",0,0,0,0,0,0,0,0,0,0,0.000713465804077728,0.000150755991196498,0.000442866095756959,0,0,0,0,0,0,0,0,0,0.000294652436983121,0.000477902339390651,0,0
